ENGLISH SENTENCE,GOLD STANDARD CODE-MIXED SENTENCE
Assistance will be targeted too to the Dominican Republic,Assistance sera targetted aussi a la République Dominicaine
It is difficult to overestimate the significance of this EMU,C'est difficult de surestimer l’importance of this EMU.
First it is certain that complete decoupling lowers production,"Tout d'abord, il est certain que le decoupling complet abaisse the production."
But we just stay here not making progress,Mais we restons juste ici without progrés
This is no Marshall Plan paid for by Uncle Sam,Il n'y a any Plan Marshall payé by l'Oncle Sam
There are four main problem areas,Il y a four principaux domaines problematic
This is irrefutably a missed opportunity,C'est incontestablement an opportunity manquée
Yes we are against the unnecessary culling of healthy animals,"Oui, nous are contre l'abattage useless d'animaux en bonne health"
This is not a trivial matter,Ce n'est pas an affaire trivial
I think he is someone worth listening to,Je think que ca vaut la worth de l'écouter
Internet penetration has increased,The pénétration d'Internet a increased
The next item is Question Time B603322005,Le prochain article est Question Time B603322005
The United Kingdom has a problem with this,Le Royaume-Uni has un problème avec this
What are the means at our disposal,Quels sont les means a notre disposition
The moment of truth is approaching,Le moment de truth approche
Global governance and UN reform,Le gouvernance wordlwide et l'UN se réforme
The reverse is not true in the USA,L'inverse n'est pas true aux États-Unis
In Hungary one factory in five has closed down,"En Hongrie, une usine sur cinq est closed down"
I wish us all luck,je nous wish à tous good luck
Like everybody else I compliment the rapporteur Mrs Krehl,"Comme tout le monde, j'ai complimented le journaliste, Mme Krehl."
This is the big technological change,C'est le grand changement de technology
We will have many ideas on this subject,Nous aurons many d'idées sur cette subject
Large parts of this adopted resolution are unacceptable to me,Des grandes parts de cette resolution sont inacceptables pour me
We cannot and should not observe or support every election,Nous ne pouvons et ne devons pas observe ou support chaque election
The previous one was only three years ago,Le previous datait d'il y a seulement trois ans
This applies even in times of crisis,Cela s'applique même en times de crisis
This is a challenge that the EU must rise to,C'est un challenge que l'UE doit relever
And you say that we need new scientific data,Et tu dis qu'on a besoin de nouvelles scientific data
We are putting labels on everything,Nous mettons des labels sur tout
We must take this problem into consideration,Nous devons take cette problème en considération
However progress is always the best cure for stagnation,"Cependant, le progress est toujours le meilleur remède contre la stagnation"
We have done this not once but many times,Nous l'avons fait non pas une mais plusieurs times
That was the best advice I could give her,C'était le meilleur advice que je pouvais lui donner
We shall only succeed if everyone concerned works together,Nous ne réussirons que si toutes les personnes concernées travaillent together
I thank Mr McMahon for raising this,Je remercie M. McMahon d'avoir soulevé cette question
Free trade is not the same as,Le free trade n'est pas la même chose que
Mr PresidentinOffice thank you for your reply,"Monsieur Président en office, merci pour votre réponse"
My question is therefore Are further steps planned,Ma question est donc la suivante : d'autres mesures sont-elles prévues ?
This aspect is fundamental,Cet aspect est fondamental
What influence will Hezbollah have in future,Quelle influence aura le Hezbollah à l'avenir
My report has been discussed a great deal,Mon report a été beaucoup discuté
We are not starting from scratch here,Nous ne partons pas de scratch ici
I am happy that the Council is prepared to move,Je suis heureux que le Council soit prêt à agir
That means largescale competition for our flower growers in Europe,Cela signifie une concurrence à grande échelle pour nos growers de fleurs en Europe
Community Programme for Employment and Social Solidarity Progress,community program de progrès pour l'emploi et la solidarité sociale
You spoke of showing solidarity with Africa Mr Barroso,"Vous avez parlé de solidarité avec Africa, M. Barroso"
However there are other collective responsibilities,Il existe cependant d'autres collective responsibilities
That will be corrected Mr Poignant,Ce sera corrected Mr. Poignant
Commissioner do not wait until the lights go out again,"Commissioner, n'attendez pas que les lights s'éteignent à nouveau"
This is one of the success stories of EU policy,C'est l'une des réussites de la European policy
The whole of Europe expects this of us,L'Europe entière attend il de nous.
We can expect further strikes and protests,Nous pouvons nous attendre à strikes et des protests
We must analyse the matter,Il faut analyser le matter
The Union is ready to meet the challenge of enlargement,L'Union est prête à relever le défi de l'enlargement
But since then I am OK quite fit,"Mais depuis, je vais OK et fit."
The large Member States share out the posts among themselves,Les large member states se répartissent les postes
Europe is able to act,L'Europe est capable d'agir
The sitting was closed at 1117 pm,la sitting est levée à 23 h 17
Austrias aid was not however restricted to helping the refugees,L'aide de l'Autriche ne s'est toutefois pas limitée à l'aide aux refugees.
As we know policy on SMEs looks simple,"Comme nous le savons, la politique des SMEs semble simple"
I am delighted with what Commissioner FerreroWaldner has said,Je suis ravi de ce qu'a dit le commissioner Ferrero Waldner
