ENGLISH SENTENCE,GOLD-STANDARD CODE-MIXED SENTENCE
This fact is based on possibility.,Yeh fact possibility par based hai.
"In Stanford, Roy met many academicians and political workers.",Stanford mein Roy many academicians aur political karyakartaon se mile.
A group of worms which are parasites of plants.,Krmiyon ka group jo plants ka parasites hota hai.
"And the answer is, it depends.",Aur answer hai yeh depend karta hai.
I borrow the one from this entire thirty.,Main is entire thirty se one borrow karta hoon.
Licensing and import policies were liberalized.,License tatha import ki policies ko udar banaya gaya.
"Hey asshole, don't forget your tip.","Hey asshole, apna tip mat bhoolna."
Early reading and writing.,Early reading aur writing
Focus on Previous Folder.,Previous folder par focus karein.
Turn each middle screw and cast puck together.,Pratye‌k middle screw ko turn karein bari aur ek saath puck cast karein.
Never run out. It is simply too common.,Bahar never bhago. Yeh simply too common hai.
He plays World of Warcraft.,Woh World of Warcraft khelta hai.
But such occasions should be few and far between.,Parantu such avasar few aur far-between hone chahiye.
"The Congress should remove such differences, not create them.","Congress ko inn differences ko remove karna chahiye, inko create nahi."
The questions are of four types.,Questions chaar prakar ke hote hain.
Malformed version number s.,Virupit version number s
A time machine cannot run on its own and will be scorched by the Fire.,Time machine khud se nahi chalt sakti aur fire se scorch ho jayegi.
Number of Times to Repeat Content.,Content ko repeat karne ki sankhya.
What is said against him is sheer calumny.,Uske against jo kaha gaya hai vah bilkul calumny hai.
Was a king of the Ghurid dynasty.,Ghurid dynasty ka ek raja tha.
An edible oil derived from the seeds of safflower.,Safflower ke seeds se prapt kiya gaya khadya tel.
Target fixed for Annual Programme of Official Language Research.,Annual Program of Official Language Research ke liye lakshya fixed.
The end of religion is an essential knowledge of God.,Religion ka end ishwar ka ek essential knowledge hai.
Facilitate the industry for addressing global markets.,Vaishwik bazaar ko address karne ke liye industry ko facilitate karein.
Add a New Toolbar.,Ek naya toolbar add karein.
A proposal moved in the legislature to stop work.,Legislature mein prastut kiya gaya prastav work stop karne ke liye.
It's five o'clock.,Five baje hain.
Fund created for redemption of debentures.,Debentures ke redemption ke liye create kiya gaya fund.
Encouraging setting of Livestock and Poultry Industries.,Livestock aur Poultry industries ki sthapna ko protsaahit karna.
"In both these cases, economic and religious grievances were intermingled.",In donon hi cases mein economic aur religious grievances mishrit thi.
Four pairs of antlers were mounted on the wall.,Wall par lage hue chaar jode antlers.
Radiologic refers to radiological in nature.,Radiologic ka taatparya hai radiological in nature.
A way of describing the relative position of something.,Kisi cheez ki relative position ka varnan karne ka ek tareeka.
The role of accompanying plants frequently used in multicomponent prescriptions.,Multicomponent prescriptions mei aksar upayog kiye jaane vaale accompanying paudhon ki bhoomika.
Some may get high fever.,Kuch ko high fever ho sakta hai.
This new boss Khanna is a bird hunter man.,Yeh naya boss Khanna ek bird hunter aadmi hai.
A few trigonometric identities have also been covered.,Kuch trigonometric identities ko bhi cover kiya gaya hai.
A gland secrets the secretion directly into the blood.,Ek gland secretion ko seedhe rakt mein secrete karti hai.
Responsibility or burden to prove something.,Kisi baat ko siddh karne ki responsibility athwa burden.
"So in other words, this number is the average.",To other words mein yeh number average hai.
Date of issuance of RFP 10/10/2014.,RFP ke issuance ki taareekh 10/10/2014.
And those who stand firm in their testimonies.,Aur jo apni testimonies par drdh rahate hain.
Needle-like pointed structure found on stem or leaf.,Stem ya patti par paya jaane vaala suee jaisa nukeela structure.
She remembered she stole little things for her children.,Use yaad aaya ki usne apne children ke liye little cheezen churaee theen.
The academic record of this student is outstanding.,Is student ka academic record adbhut hai.
This is Hell which you were promised.,"Ye Hell hai, jiska tumse vaada kiya gaya tha."
