ENGLISH SENTENCE,GOLD STANDARD CODE-MIXED SENTENCE
"For example, we would have liked greater flexibility.","For ejemplo, habríamos gustado greater flexibility"
The next item is Question Time to the Council B4000197.,El next item es tiempo de pregunta a el Council B4000197
This will become clear shortly in the IGC.,Esto will become claro shortly en el IGC
This is a very important issue.,Este es un asunto muy important
"However, those problems should be solved with goodwill.","However, esas problemas deben ser solved con goodwill"
Together we shall succeed in working to this end.,juntos we debemos lograr en trabajando to este end
Remove it and the whole structure is undermined.,quítate es and the whole estructura es debilito
We voted against the report for the following reasons.,Nosotros votamos against el informe por following reasons
They are absolutely crucial to agriculture and food production.,They son absolutamente crucial a agriculture y producción de la comida
This must be the agenda for the British Presidency.,Este debe ser el agenda de la brithish Presidency.
"In short, it gives the Commission yet another role.","En short, da a la Commission todavía otro role"
"Mr. President, our Greek colleague is partly right.","Sr. President, nuestro colega de Greek es en parte right"
What it can do is hire and fire the bosses.,Lo que puede hacer es hire y fire a los jefes.
We should support more opposition in Iran.,Nosotros debemos apoyar more opposition en Iran
These problems are highlighted in my report.,Estas problems están destacar en mi report
"Unfortunately, however, we are sidestepping the definition of geopolitical priorities.","desafortunadamente, however, nosotros  estamos esquivando  la definición of geopolitical priorities"
"These statements, as we know, conceal a bloody repression.","estas statements, como conocemos, disimulan una bloody repression"
That is what the President of the Greek Parliament said.,Eso es lo que ha dicho el Presidente del Greek Parliament.
"Therefore, we welcome the work that Mrs. Balzani has done.","Por lo tanto, acogemos con agrado el work que ha realizado la Mrs. Balzani."
Mr. De Coene has put his name to this.,Mr De Coene ha puesto su name a esto.
Differences in health must be evened out.,Las diferencias en health deben ser evened out.
I will be back for final comments.,yo estaré atrás for final comentarios
It is good that the matter is making progress.,es bueno that el asunto is making progreso
This report is intended to facilitate this.,este report es tuvo la intención de facilitar este
The Commission made a very important contribution to this end.,The Commission hizo una contribution muy importante to este fin
"Because of this, we will abstain on this report.","Porque de este, we abstendremos on this informe"
Serbia lost part of its territory.,serbia lost parte de su territory
This is a fundamental issue for us.,Este es un issue fundamental para nosotros
This proposal concerns peace in the Middle East.,Esta proposal se refiere a la paz en Middle East.
"Mr. President, I want to thank all three rapporteurs.","Mr president, quiero dar las gracias a los tres rapporteurs."
And underlined that Galileo is an exclusively nonmilitary project.,Y underline que Galileo es un proyecto exclusivamente nonmilitary. 
"However, we know how local elected representatives behave.","However, sabemos cómo se comportan los local elected representatives."
This matter could have been corrected in the Maastricht Treaty.,Esta matter podría haberse corregido en el Maastricht Treaty.
"However, we voted in favor of several proposals.","Sin embargo, votamos a favor de several proposals."
"We now, though, also need a coalition to rebuild Afghanistan.","Sin embargo, ahora también necesitamos una coalition para reconstruir el Afganistán."
The first was about timetabling.,El primero fue sobre a los timetabling.
"Thank you, Mrs. Malone.","Gracias, Mrs Malone."
I declare the session of the European Parliament adjourned.,Declaro interrumpido la sesión del European Parliament.
"In the meantime, there are two goals.","In the meantime, hay dos objetivos."
It is a matter of hundreds of people a day.,Es cuestión de hundreds of people al día.
My thanks to France.,Mi gracias a France
We are not a federation like the United States.,No somos una federation como Estados Unidos.
Regulatory safety mechanisms worked in this instance.,Los regulatory safety mechanisms funcionaron en este caso.
A healthy Union cannot exist without healthy citizens.,Una healthy union no puede existir sin ciudadanos saludables
Not one of them constitutes an actual minority.,ninguno de ellos constitutes una minoría actual.
May I turn specifically to some of the amendments.,Puedo referirme específicamente a algunas de las amendments.
The ball is in the European Parliament's court.,La pelota está en el court del European Parliament.
"Ladies and gentlemen, I endorse the Wallis report.","Damas y caballeros, apoyo el Wallis report."
We must avoid enacting regulations authorizing an a la carte system.,Debemos avoid la promulgación de normas que autoricen un system a la carta.
Some scientists say CO2 concentrations have already gone too far.,Algunos scientists dicen que las concentractions de CO2 ya ha llegado demasiado lejos.
I think we should wait for the new impact analysis.,Creo que deberíamos esperar al nuevo impact analysis.
This is what liberalism has done for Russia.,Esto es lo que el liberalism ha hecho a Russia.
"We, therefore, voted against this report.","Por lo tanto, hemos votado en contra de este report."
It is certainly clear that this directive needed a rewrite.,Está claro que esta directive necesitaba una rewrite.
I am interested to hear that.,Me interesa escuchar that.
Our scientific cooperation agreement fits perfectly into this process.,Nuestro agreement de cooperación científica fits perfectamente en este proceso.
"It is, of course, a strange circular argument.","Es, por supuesto, un extraño circular argument."
"Finally, I would draw your attention to a printing error.","Finally, quisiera llamar su atención sobre un error de printing."
We should keep this perspective in mind.,Debemos tener en cuenta esta perspective.
The whole of Europe is looking at this.,El todo de Europe esta buscando at this. 
"Mr. Barroso, you will not succeed unless you do this.","Mr Barroso, no tendrá success a menos que lo haga."
The European Parliament must provide an answer.,El Parlamento Europeo must dar una answer.
"The economy is growing considerably, and unemployment is falling.",La economy esta creciendo considerably y unemployment esta decreciendo.
The British Labour Government is leading the way.,El gobierno British Labour esta guiando the way
"Admittedly, there are problems.","admittedly, hay problemas."
We defend human dignity and human rights.,Nosotros defendemos human dignity y human rights
May this debate serve to renew that spirit.,may este debate sirva para renovar ese spirit.
Disasters have just continued to increase in number.,Los disasters simplemente han seguido aumentando en number.
Some of the questions were less than forensic.,Algunas de las questions eran menos que forensic.
"Thirdly, territorial disputes hang over the Arctic.","thirdly, las disputas territoriales penden sobre el Arctic."
"In essence, will there be more direct democracy?","En essence, ¿habrá más democracy directa?"
"PL Mr. President, I have some good news from Poland.","PL Mr President, tengo buenas news de Poland."
China and other states are continuing to catch us up.,China y other estados estan continuando to catch nos arriba
The Balkan countries are an integral part of Europe.,Los Balkan countries son parte integrante de Europe.
Yet this rapid introduction cannot occur overnight.,yet esta rápida introducción no puede ocurrir overnight.
Our planet has a fever.,Our planeta tiene fever.
The Irish presidency agenda is complex and multifaceted.,La agenda de la Irish presidency es compleja y multifaceted.
That is the message that should be sent.,Ese es el message que se debe enviar.
There is huge potential here for enriching the job market.,Aquí hay un enorme potencial para enriching el job market.
All products must meet the appropriate quality requirements.,Todos los productos deben cumplir los quality requirements adecuados.
It contains the Commission work programme.,Contiene el programa de work Commission.
Then you said this programme was useful for study purposes.,Entonces dijo que este programme era útil para estudiar.
So action is needed at the international level.,Por eso es necesario actuar a international level .
"In English, it is worded as follows.","En inglés, está worded como sigue."
Our basic attitude towards the European Union is positive.,Nuestra actitud básica towards la Unión Europea es positive.
"However, all that would be very complicated.","Sin embargo, todo eso sería muy complicated."
We must adapt to these circumstances.,Debemos adaptarnos a estas circumstances.
Georgia is also facing very serious difficulties with its budget.,Georgia también se enfrenta a dificultades muy serious con su budget.
We are literally asking our fishermen to burn their boats.,Literalmente estamos pidiendo a nuestros fishermen que quemen sus boats.
That was the way things were.,Así eran las things.
You know the Rules.,Conoces las rules.
You have mentioned renewable energy.,Ha mencionado las renewable energy.
Taxpayers cannot understand this.,Los taxpayers no pueden entender esto.
Europe's values do not allow nationalism.,Los values de Europe no permiten el nacionalismo.
They are the autochthonous inhabitants of those lands.,Son los habitantes autochthonous de esas tierras.
That is not good enough.,Eso no es good enough.
Mrs. Pack and I visited Kosovo not so long ago.,Mrs. Pack y yo visitamos Kosovo no hace mucho time.
The regulations represent one more step in the right direction.,El reglamento representa un step más en la direction correcta.
We will use paper in the future.,Nosotros usaremos paper en el future
A country based on values other than human rights.,Un país based en values distintos de los derechos humanos.
The political climate is certainly far from being stabilized.,"Sin duda, el political climate está lejos de estabilizarse."
I have said why I support the Constitution.,He dicho por qué yo support la Constitución.
These are all areas in which action is needed.,Todos estos son areas en los que es necesario action.
I believe the acting President contravened the Rules of Procedure.,Creo que el President en funciones contravino el Reglamento.
That is not what transparency is all about.,La transparency no es eso.
We did not travel to court in the same car.,No viajamos al court en el mismo car.
A solidarity fund is not appropriate here.,Una solidarity fund no es apropiado aquí 
"Consumers, therefore, have no idea whom to trust.","Los consumidores, therefore, no tienen idea de en quién confiar."
The Member is absolutely right.,El miembro esta absolutely correct
"Mr. Goebbels, it is already after 1200.","Mr Goebbels, ya son más de las 12:00."
"Firstly, the ECB can now monetize sovereign debts.","En primer lugar, el BCE ahora puede monetizar la sovereign debts"
Any ambiguity in this field will lead to disaster.,Cualquier ambigüedad en este field conducirá al disaster.
That concludes the vote.,Se cierra la vote.
The volumes are increasing year on year.,Los volumes esta aumentando year by year
The Petersen report helps to do something about this.,El report de Peterson ayuda to do something sobre este
I am not here to talk about the past.,no estoy aquí to talk about el pasado
Parliament gave its assent.,Parliament dio su assent
The financial compensation payable is specified in the agreements themselves.,La compensation financiera pagadero is specified en los acuerdos mismos
"Madam President, I also wish to express a personal view.","Señora Presidenta, yo también quiero expresar una view personal."
I now come to the IGC.,Paso now a la CIG.
An immediate increase in resources is therefore necessary,"Por lo tanto, es necesario un aumento inmediato de los resources. "
In my view we must publicise this opportunity much more,"En mi opinión, debemos publicise esta opportunity mucho más."
Parliament will follow you,El Parliament te seguirá.
This report fails to demand disclosure by those intermediary banks,Este report no exige la disclosure por parte de esos banks intermediarios
But where is the proper legislation about it,"Pero, ¿dónde está la legislation adecuada sobre ello?"
Isolation will only make the population pay a greater price,El isolation solo hará que la population pague un precio mayor.
Are there any solutions,¿Hay alguna solutions?
