                                         ENGLISH SENTENCE,                                          English-Spanish,                                          English-Bengali
He was a Jat from a village called Sultan,Era un Jat de un village llamado Sultan,Se ekjon Jat chilo Sultan namok village theke
She wrote in simple but forceful and elegant style,Escribió en un estilo sencillo pero forceful y elegant,She likhechilo simple but forceful and elegant style-e
well some people say we are borrowing a 1,well algunos dicen que nos prestan un 1,well some lok bole ami 1 borrow korchi
and big eyed houris,y big eyed houris,ar boro chokher houris
There is no bar on the quantity,No hay límite de quantity.,Quantity er upor kothao bar nai
Cattle always love to have a variety in their food,Al ganado always le gusta comer variado,Cattle er khaoar moddhe variety thakle bhalo lage
Grant of money from government as assistance,Concesión de dinero del government como ayuda,Sarkarer taraf theke assistance er jonno taka grant
The amount of exports undertaken influences prices significantly,El amount de las exportaciones realizadas influye notablemente en los prices.,Export er amount prices e significant probhaab phele
Use of micrographics solves problems of preservation and distribution,El uso de la micrografía solves los problems de conservación y distribución,Micrographics er use preservation ar distribution er problem solve kore
The turgor movement phenomenon was observed in the mimosa leaves,El fenómeno de movimiento de turgor se observó en las leaves de mimosa.,Turgor movement phenomenon ta mimosa leaves e observe kora hoyechilo
Which has been acquired retained for trading purpose,Que ha sido adquirida retained con fines comerciales.,Jaa acquire kora hoyeche ta trading er jonno retain kora hoyeche
He called the pH as hydrogen ion exponent,Llamó al pH como exponente del hydrogen ion.,Se pH ke hydrogen ion exponent bolechilo
And I m not a sales person,Y no soy un salesperson.,Ar ami sales person noi
Varuna has but a thousand eyes,Varuna sólo tiene mil ojos.,Varuna-r to one thousand eyes ache
It had a very chequered history in our Constitution,En nuestra Constitution ha tenido una historia muy chequered.,Er Constitution e ekta bhalo chequered history chilo
To please the mind or to charm someone,Complacer la mind o encantar a someone.,Mon ke pease korar jonno ba kono ekjon ke charm korar jonno
Thus Ananda who would convert others is himself converted,"Thus, Ananda, que quiere convertir a others, se convierte a sí mismo.",Eibhabe Ananda je bakider ke convert korbe se niei convert hoye geche
These call for urgent individual as well as collective introspection,"Esto call for una introspección urgente, tanto individual como colectiva.",Ei gulo urgent individual o collective introspection er jonno call kore
Please tell the interest accrued but not due amount,"Please, digame los intereses devengados pero no el due amount.",Please accrued interest ta bolun due amount ta noi
If you are still confused let me know,Si todavía estás confused házmelo saber.,"Jodi tumi akhono confused thako, tahole amai janao"
How to set up HACCP for your business,Cómo implantar el sistema HACCP en tu empresa?,Ki kore HACCP setup korbe tomar business er jonno
She began to cry at the sight of his face,Empezó a llorar al verle la face.,She cry korte shuru korlo tar face dekhe
Life Iswarchandra soon distinguished himself as a meritorious student,Iswarchandra pronto se distinguió como un estudiante meritorio,Life Iswarchandra taratari meritorious student hishebe nijeke distinguish korlo
something times x plus something,algo por x más algo,kichu bar x plus kichu
Glycerin is filled after removing the moisture from the flowers,Se llena glicerina después de eliminar la humedad de las flores,Glycerin bhora hoy flower gulo theke moisture remove korar por
Program does not have execution permission,El programa no tiene permiso de ejecución,Program tar execution permission nei
You are on the wrong train,Estás en el tren equivocado,Tumi wrong train e acho
Did he not make their plot go astray?,No hizo que su trama se desviara?,O ki apnader plot ta astray kore ni?
Addendum was done to certain documents,Se realizó un adendum a ciertos documentos,Addendum kora hoyechilo certain documents er
Certificate in Computer Programming,Certificado en Programación de Computadoras,Computer Programming e Certificate
Plants and Living creatures,Plantas y Criaturas Vivas,Planter o Living creature
The Swadeshi movement was little more than a memory,El movimiento Swadeshi era poco más que un recuerdo,Swadeshi movement ta ekta memory er theke boro kichu chhilo
Tension drove her heart up into her mouth,La tension le llevó el corazón a la mouth.,Tension e taar heart mouth e chole geche
Reply to the mailing list or to all recipients,Responder a la lista de mail o a todos los recipients.,Tar mailing list ba all recipients der reply koro
It will create overall harmony between body and mind,Creará una harmony general entre el cuerpo y la mind.,Eta body and mind er moddhe overall harmony create korbe
MY DEFENSE MECHANISM IS RIGHT HERE, Mi mecanismo de defense está justo aquí.,AMAR DEFENSE MECHANISM EI KHANETEI
Which way do we go Sheriff,"¿Qué way tomamos, Sheriff?",Kon path e jaabo Sheriff
You would knowingly sacrifice all those lives,Sacrificarías todas esas lifes a sabiendas.,tumi jene bujhe sei shob lives der sacrifice korte
Are you one of Emily's friends,¿Eres uno de los friends de Emily?,Tumi ki Emily r ekjon friend?
There will come a day when the walls that surround Corona are threatened by malfeasance,Llegará un día en que los muros que rodean a Corona se vean amenazados por la malfeasance.,Ekta din ashbe jokhon Corona ke ghere rakha wall gulo ke malfeasance threat korbe
I just took the key from the wall and gave him a room,Simplemente tomé la llave de la wall y le di una room.,Ami key ta wall theke nilam aar taake ekta room dilam
Your precious treasure was almost lost and with it my fortune,Tu precious tesoro estuvo a punto de perderse y con él mi fortune.,Tomar precious treasure prai haraiye gechilo aar tar sathe amar fortune
You just assumed that the door was locked,Asumiste que la door estaba locked.,Tumi assume korei niyechile je door ta lock kora chilo
We will find you a room,Te encontraremos una room.,Amra tomai ekta room find kore debo
I am sorry boys but I can't lead you this time,"Lo siento chicos, pero no puedo lead you esta vez.",Ami sorry boys kintu ami ei baar tomader ke lead korte parbo na
The plan was to just nod my head ,El plan era simplemente nod con la cabeza.,Plan ta chilo just amar head nod korar
Corporations tend to keep track of their holdings,Las corporations suelen llevar un registro de sus holdings.,Corporation gulo nijeder holding gulo track korte chay
I have got this completely under control,Lo tengo todo under control.,Ami eta completely under control e kore phelechi
So we can read her emails. So what?,So podemos leer sus emails. ¿Y qué?,amra tar email gulo porechi. taate ki?
It is a good sign,Es una buena signal.,Eta ekta bhalo sign
I need a different glass,Necesito otro glass.,Ami ekta onno glass chai
"Siddhu, those guys hit me","Siddhu, those chicos me golpearon. ","Siddhu, oi lok gulo amai hit koreche"
You have 48 hours to terminate both targets,Tiene 48 hours para eliminar both objetivos.,Tumi 48 ghante pabe dutoi target terminate korte
Miller hasn't sent much but what she has is very promising.,"Miller no ha enviado much, pero lo que tiene es muy promising.",Miller beshi kichu send koreni kintu ja koreche ta khubi promising
"Yes, all three members of Vortex were there that day","Sí, los tres members de Vortex estaban allí ese day.","Haan, Vortex er tinjon member i sei din present chilo"
At this moment they think that they can safely leave this site,En este moment piensan que pueden abandonar este site con seguridad,Ei moment e taara bhabche taara safely ei site leave korte parbe
The Japs deliberately target the wounded,Los japs atacan deliberately a los heridos.,Jap ra deliberately wounded der target kore
I could help him with my toys,Podría ayudarle con mis toys.,Ami taake amar toys diye help korte partam
"Put it in, be careful careful","Mételo, con care","Ota bhetore put koro, careful careful hao"
kids in the car,niños en el car.,car e bachcha ra
"You need to work on your delivery, alright","Necesitas trabajar en tu delivery, ¿vale?","tomake tomar delivery te kaaj korte have, alright"
Mom come on let it go,Mamá come on déjalo ir.,"Mom, come on, chere dao"
This is the witch who works for Vortex,Esta es la witch que trabaja para Vortex.,ei sei witch je Vortex er jonno kaaj kore
You have one new message,Tienes un new mensaje.,Tumi ekta new message peyecho
Today is your lucky day because I just happen to be here,Hoy es tu día de luck porque casualmente estoy here.,Aajke tomar lucky day because ami just ekhane achi
Who are you calling a cripple?,¿A quién llamas cripple?,kaderke tumi cripple bolcho?
You trying to go to math class,¿Estás tratando de ir a class de matemáticas.,tumi maths class e ete chaicho
"You have got a psychosomatic limp, of course you have got a therapist","Tienes una limp psicosomática, por supuesto, tienes un terapeuta.","tomar ekta psychosomatic limp ache, of course tomar ekjon therapist ache"
I got a letter,Recibí una letter.,Ami ekta letter peyechi
Just until you get your view,Sólo hasta que tengas tu view.,Just tomar view pawa porjonto
I congratulate the rapporteur on his excellent work,Felicito al rapporteur por su excelente trabajo.,Ami rapporteur ke congratulate korchi tar excellent kaaj er jonno
"Mr President, I give you a present of three seconds","Señor Presidente, le regalo tres seconds.",Mr President ami tomake three second er ekta present diyechi
These are my introductory remarks,Estos son mis remarks introductorios. ,Ei gulu amar introductory remarks
Safety must be assured,La safety debe estar garantizada.,Safety ta abosshoi ensure korte habe
I would ask you Chris Patten to take the floor,Me gustaría pedirle Chris Patten a take la palabra,Ami tomake bolbo Chris Patten floor nite
I think not Commissioner,"No lo creo, Commissioner",Ami mone kori na Commissioner
This has nothing to do with deregulation liberalisation or privatisation,Esto no tiene nada que ver con la liberalisation de la deregulation o la privitisation,Etar deregulation liberalisation ba privatisation er sathe kono sambondho nei
The many proposals and good intentions must lead to action,Las muchas proposals y buenas intentions deben llevar a la action,eto proposals aar good intentions action porjonto niye jaabe
This means that we need a pressure instrument,Esto significa que necesitamos un instrument de pressure,Er mane amra ekta pressure instrument chai
The work programme lamentably perpetuates this general trend,El work programme lamentablemente perpetúa este general trend,ei work program lamentably ei general trend ta perpetuate kore
The problems with fishmeal lie elsewhere,Los problems con la harina de pescado están en otro lado,Fishmeal er problem ta onno kothao
You mentioned visitors but the visitors have been informed,Mencionaste visitors pero los visitors han sido informados,Tumi visitors der katha mention korechile kintu visitors ke inform kora hoyeche
This is completely unnecessary,Esto es completamente unnecessary,Ei ta completely unnecessary
That decision should be based on other considerations,Esa decision debe estar basada en otras considerations,sei decision ta onno consideration er upor base kore howa uchit
Moses said O my Lord enlarge my breast,"Moisés dijo O mi Lord, ensancha mi breast","Moses bollechilen O my Lord, bariye dao amar chhati"
Indeed successful is the one who made it pure,De hecho successful es el que lo hizo puro,"Indeed, je pure koreche, sei successful"
I m not telling you that story,No te voy a contar esa story,Ami tomake shei story bolchi na
You do not have permission to write to selected directory,No tienes permiso para escribir en el selected directory,Tomar selected directory e write permission nei
The bathrooms are located on the second and third floors,Los bathrooms están en el segundo y tercer floor,Bathroom gulo second and third floor e ache
"He started Priyamvada, a monthly, from August 1885",Él empezó Priyamvada un monthly desde August 1885,"se Priyamvada, ekta monthly, start korchilo August 1885 theke"
Our space programme has been actively promoting 227 international cooperation,Nuestro space program ha estado promoviendo actively 227 international cooperations,Aamader space programme 227 international cooperation ke actively promote korechhe
What the honey bee does it pollinates,Lo que hace la bee es polinizar,Honey bee pollinate kore
You should be duty bound for hard work and sacrifice,Debes estar obligado por el duty para el hard work y el sacrifice,Tomar hard work o sacrifice er jonno duty bound hoya uchit
Play sound when a new message arrives,Play sound cuando llega un nuevo mensaje,Play sound jokhon ekta new message asbhe
My world is subjective,Mi world es subjective,Amar world ta subjective
What other properties of language does the script show,¿Qué otras propiedades del lenguaje muestra el script?,Language er aar kon kon properties script e dekha jachche
The thief broke the window,El ladrón broke la window,Thief window bengechilo
Write the changes to the storage devices and configure RAID,Escribe los cambios en los storage devices y configura RAID,Storage device er changes gulo likhe dao and RAID configure koro
humans destroyed the commons that they depended on,Los humans destruyeron los commons de los que dependían,human sei common der destroy koreche jader opor tara depend korto
He is expert in page fixing,Es expert en arreglar pages,se page fix korai expert
The birds are therefore highly beneficial to man,Los birds son por lo tanto muy beneficiales para el man,tai pakhi ra manusher jonno khub beneficial
Osmotic pressure causes the height of the water,La osmotic pressure causa la altura del water,Osmotic pressure water er height cause kore
It is what people do sometimes when they are excited or pumped up,es lo que la gente hace a veces cuando están excited o animated,loke excited ba pumped up hole ja sometimes kore
LT RUSSEL PHIL PHILLIPS SURVIVED THE WAR AND MARRIED HIS SWEETHEART CECY,LT RUSSEL PHIL PHILLIPS survived la war y se casó con su girlfriend CECY,LT RUSSEL PHIL PHILLIPS WAR SURVIVE KORLO O TAR SWEET HEART CECY-KE BIYE KORLO
Tonight let us shake this cave,Esta night vamos a sacudir esta cave,Aaj raatey ei cave shake kora jak
My dear boy I have made a terrible mistake,"Mi querido niño, he hecho un terrible mistake",my dear boy ami ekta terrible mistake korechi
I have to stabilize the car okay,Tengo que estabilizar el carro okay,Amake gari ta stabilize korte hobe okay
I thought maybe I would run to the end of town,Pensé que a lo mejor yo correría hasta el end del town,ami bhablam ami hoito end of the town porjonto run korbo
Give me my bag back,Dame mi bag de regreso,Amake amar bag pherot dao
She moved those trees with her mind,Ella movió esos trees con su mind,She mind diye shei tree gulo move korlo
It looks like she might have run into a thorn bush out there,Parece que se metió en un matorral de thorns allá afuera,dekhe mone hochche she ekta thorn bush e run into koreche
Well I think its very nice,Bueno yo creo que es muy nice,Well ami mone kori eta very nice
New numberation will come,Va a venir new numbering,notun numberation ashbe
Take care of your health,Cuida tu health,tomar health er jatno nao
Brothers we are one hour to land on Earth,Brothers estamos a una hora de landing en la Earth,brothers amra one hour a Earth e land korbo
I am glad you are back at the compound,Me alegro que estés de vuelta en el compound,ami glad tumi compound e phire esecho
That video is embarrassing,Ese video es embarrassing,Ei video ta khub embarrassing
